layer,key,status,source_count,sources,zh_cn,en_us,note
Reference,ui.talent.equipment.slot_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,妲戒綅 {0}: {1},Slot {0}: {1},referenced_and_resolved
Reference,ui.talent.equipment.title,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,装,Equipment,referenced_and_resolved
Reference,ui.talent.equipment.unequip,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,鍗镐笅,Unequip,referenced_and_resolved
Reference,ui.talent.inventory.empty,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,暂无珍珠,No pearls available.,referenced_and_resolved
Reference,ui.talent.inventory.equip,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,装,Equip,referenced_and_resolved
Reference,ui.talent.inventory.title,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,背包,Inventory,referenced_and_resolved
Reference,ui.talent.status.locked,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,??,Locked,referenced_and_resolved
Reference,ui.talent.status.unlocked,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,已解,Unlocked,referenced_and_resolved
Reference,ui.talent.title,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,成长,Progression,referenced_and_resolved
Reference,ui.talent.tree.available_points_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,可用点数：{0},Available Points: {0},referenced_and_resolved
Reference,ui.talent.tree.missing_data,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,未找到天赋树数据。,Talent tree data not found.,referenced_and_resolved
Reference,ui.talent.tree.title,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,天赋,Talents,referenced_and_resolved
Reference,ui.talent.unlock,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_TalentEquipmentOverlay.cs,解锁,Unlock,referenced_and_resolved
Reference,ui.wave.announcer.boss_default,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_WaveAnnouncer.cs,棣栭閬亣,Boss Encounter,referenced_and_resolved
Reference,ui.wave.announcer.boss_tag,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_WaveAnnouncer.cs,首,BOSS,referenced_and_resolved
Reference,ui.wave.announcer.default_wave_title_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_WaveAnnouncer.cs,?{0} ?,Wave {0},referenced_and_resolved
Reference,ui.wave.announcer.wave_format,Ok,2,Assets/ThirdPersonController/Resources/Localization/DefaultLocalizationTable.asset | Assets/ThirdPersonController/Scripts/UI/UI_WaveAnnouncer.cs,?{0} ?,WAVE {0},referenced_and_resolved
Summary,,Ok,130,,,,mode=apply; refs=130; warnings=0; fixed=0
